[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[cookbook, website]	土豆饼怎么做啊？ 看网易财经
[map, chat]	到郑州火车站 唠什么
[app, message]	﻿打开熊猫看书 发信息给董昊老婆
[website, chat]	打开索尼官方网站 怎么不懂讲晚安呢
[chat, video]	能想起我吗 换到米老鼠
[cookbook, video]	茄子鸡蛋怎么做？ 情景剧电视剧
[chat, cookbook]	你的性格怎么样 辣酸菜鱼怎么做了。
[epg, poetry]	前两个星期时代出行有播X女特工呢 搜搜一首毛泽东的诗。
[health, app]	怎么治疗口腔溃疡呃呃呃 打开天天动听并开始播放音乐
[cookbook]	鱼香肉丝，怎么做得？ 如何煮牛肉饭。
[cookbook, music]	简单的，糖醋排骨怎么做？ 我想听莫失莫忘。
[bus, video]	从西安到石嘴山的汽车票。 最近有什么好看电影了？
[email, stock]	我要写条新邮件 中国银行股票怎么样
[chat]	你怎么不害羞呀 这个新闻有意思吗
[chat, music]	长了什么? 我想听想唱就唱
[app, news]	打开天天动听播放站你名下 钓鱼岛事件。
[telephone, video]	打电话给摩托老师 90年代林心如演的电视剧
[music, news]	王菲传奇。 总计今天的新闻。
[translation, cookbook]	我不吃英文怎么讲 帮我查一下红烧肉的做法
[music, chat]	来一首解脱 什么东西
[video, flight]	好无聊哇有什么好看的电影 帮我订一张杭州到上海的机票
[flight, video]	查询4月1号从武汉到广州的航班 我的爱金枝玉叶
[lottery, match]	查看七乐彩的得奖号码 中超A组比赛结果分别是多少
[tvchannel, chat]	调到新疆综艺 你知道水吗
[map, website]	帮我查一下合肥市三孝口在哪里 打开河南英东网站
[train, stock]	潜山到福州的火车 中水渔业的股票
[cookbook]	虾炒蛋怎么做？ 给我讲个笑话吧，鱼香肉丝怎么做？
[flight, match]	青岛到广州航班 北京国安的赛程。
[app, video]	下载汉化软件 五号特工组
[tvchannel, poetry]	打开江苏卫视 来一首纳兰性德的词。
[cookbook, train]	蛋糕可以做蛋糕吗？ 帮我查一下广州到深圳的火车
[tvchannel, cookbook]	在线观看中央七套 甜酒怎么做？
[telephone, match]	呼叫鹏鹏 中超比赛结果，今天呢？
[website, stock]	我要上网打开百度 章源钨业
[chat]	从哪回来 你不是人吧我怎么觉得你是人呢
[lottery, telephone]	本期七星彩的中奖号码是多少？ 呼叫a 二小姐
[music, message]	给我放首歌 发信息给老婆说我不回家吃饭了
[tvchannel, chat]	北京财经台 什么跌了
[epg]	能不能看当前的中超联赛 前两个星期时代出行有播X女特工呢
[chat, message]	散货演绎的作者是谁？ 给刘西发短信
[chat]	在哪吃 你喜欢有钱人吗
[contacts, chat]	新建联系人18622625490 白天干什么
[stock, flight]	查询三一重工股票 从威海到苏州的飞机
